reviewer_id,listing_id,weight
5567,12475352,1
10952,2818,1
11358,14622016,1
11869,2818,1
12798,2818,1
13642,8706862,2
14064,2818,1
15745,2818,1
17977,2818,1
20192,2818,1
23055,2818,1
26343,2818,1
27621,1924194,1
28093,2472277,1
33284,2818,1
34844,12002357,1
38293,1601408,1
38559,17632137,1
38623,2818,1
40999,2818,1
46875,730916,1
48138,2818,1
48902,16081933,1
49551,22566099,1
54482,2818,1
55661,2818,1
62868,2818,1
78305,2497346,1
79479,2818,1
82918,2818,1
97097,2818,1
97200,2818,1
98296,14412610,1
99878,2818,1
100271,6512505,1
101529,16401807,1
103149,2818,1
104697,2763386,1
105289,2818,1
109055,730916,1
112391,2818,1
115275,759060,1
120375,2472277,1
129540,12002357,1
130331,761411,1
131821,2818,1
136311,685990,1
138335,2700366,1
139554,759060,1
147769,2818,1
148412,29776071,1
159841,2497346,1
160105,2497346,1
163601,685990,1
164729,2818,1
170840,2818,1
171625,2818,1
173592,15780515,1
175043,2818,1
181813,15780515,1
186519,7812608,1
193685,2818,1
198954,730916,1
202035,2818,1
204099,14173331,1
207650,1155251,1
208259,20702723,1
208576,24628192,1
211004,2818,1
213249,2761156,1
215019,4076501,1
216750,2818,1
217961,2818,1
220089,2472277,1
224147,2818,1
227259,2818,1
229991,2818,1
241053,2818,1
243292,18950531,1
244211,4076501,1
256799,4282415,1
261115,13189108,1
266959,1601408,1
268213,2818,1
269268,14610348,1
271454,2497346,1
278151,1583266,1
284388,14245271,1
287410,14998245,1
304438,654931,1
304897,15564496,1
304964,15595655,1
322258,761411,1
322873,17986807,1
329040,2818,1
334135,20702723,1
344275,1321735,1
346223,1230403,1
346431,9996040,1
349590,1583266,1
359832,730916,1
359855,16081933,1
360406,835550,1
368719,2761156,1
374779,2818,1
381272,14622016,1
383239,17434174,1
384958,685990,1
385927,1583266,1
394316,730916,1
398178,1583266,1
400176,2818,1
404426,16081933,1
404694,1321735,1
408387,2761156,1
411842,654931,1
417767,685990,1
422476,2818,1
429363,654931,1
431563,12897197,1
432300,15959684,1
432704,15780515,1
438226,12840460,1
439946,2497346,1
441294,1155251,1
442422,2818,1
443282,7812608,1
443282,22026123,1
443282,23819110,9
446475,24628192,1
449880,4656557,1
451208,759060,1
454856,15726563,1
458172,16081933,1
463963,29776071,1
471709,14610348,1
476962,6512505,1
478602,16081933,1
485490,2818,1
485910,2497346,1
489120,16081933,1
490178,26000561,1
499313,1601408,1
502323,759060,1
505475,29901220,1
509349,15780515,1
510314,761411,1
517666,759060,1
520268,835550,1
526004,4076501,1
527017,3850557,1
529712,685990,1
533940,2818,1
534684,8398522,1
535440,2818,1
536292,10923071,1
540305,2429334,1
542668,2497346,1
562497,1155251,1
564269,2763386,1
567655,3259374,1
574103,654931,1
576189,761411,1
584302,1230403,1
598528,654931,1
601117,6512505,1
610601,2761156,1
612353,15110159,1
623009,4656557,1
623060,22092298,1
627253,16696921,1
636413,2818,1
643961,4076501,1
659272,2818,1
668411,2818,1
672278,1601408,1
681393,15959684,1
697414,3722301,1
698505,1583266,1
700053,16401807,1
700390,33990484,1
703737,16081933,1
711463,2818,1
711881,14313251,1
741326,2763386,1
750755,730916,1
758617,2818,1
772352,2818,1
778173,1601408,1
780696,1583266,1
793104,8706862,1
793616,761411,1
801660,835550,1
801728,2818,1
802614,2818,1
803744,1986095,1
809746,2497346,1
816896,654931,1
820054,4282415,1
825755,685990,1
825964,654931,1
834367,12801514,1
839784,15780515,1
852898,12897197,1
869416,1246308,1
869804,1601408,1
871358,654931,1
886902,2763386,1
887222,24827860,1
888626,3270897,1
892511,12801514,1
893545,11899719,1
900721,1155251,1
905301,927119,1
909454,2818,1
915730,4282415,1
925190,15959684,1
930207,23575414,1
932516,17986807,1
938949,16081933,1
939278,7812608,1
947102,654931,1
963429,2818,1
970455,1601408,1
976993,21744543,1
979508,2761156,1
981613,2429334,1
982502,654931,1
983406,16696921,1
992662,12801514,1
992929,1321735,1
993605,4656557,1
998391,2818,1
998701,1601408,1
998729,654931,1
1005506,12801514,1
1008273,17005568,1
1014908,17862359,1
1020137,2429334,1
1025231,39168555,1
1026283,2429334,1
1033494,2818,1
1037429,6845563,1
1089365,1601408,1
1103791,8269677,1
1106649,730916,1
1110254,759060,1
1110582,7812608,1
1119102,2818,1
1124555,1321735,1
1125039,12801514,1
1129829,654931,1
1130648,2497346,1
1135863,15780515,1
1146280,2761156,1
1152506,759060,1
1158081,29984774,1
1162826,15110159,1
1167612,12801514,1
1171313,654931,1
1172195,654931,1
1177864,654931,1
1182729,1246308,1
1203990,2429334,1
1205852,30140860,1
1209168,759060,1
1212050,654931,1
1215429,3270897,1
1219119,25310162,1
1226635,21321370,1
1229173,2763386,1
1233458,761411,1
1239666,7812608,1
1247166,3270897,1
1251217,8475898,1
1284096,8269677,1
1288498,2761156,1
1291027,835550,1
1291027,12002357,1
1291027,13825291,3
1291027,14622016,1
1291027,14829814,1
1291954,15595655,1
1300943,7812608,1
1315953,2818,1
1316048,1924194,1
1316760,685990,1
1332636,1601408,1
1341078,4076501,1
1341866,15780515,1
1351362,12475352,1
1355472,1986095,1
1358403,23575414,1
1365440,685990,1
1367145,654931,1
1369008,10923071,1
1374816,3003918,1
1376136,654931,1
1376280,15780515,1
1377846,1321735,1
1402730,2497346,1
1406275,11899719,1
1408300,23819110,1
1412025,685990,1
1414122,16401807,1
1424777,2818,1
1425576,2818,1
1425613,4282415,1
1426084,3722301,1
1432002,24827860,1
1447319,654931,1
1459909,1230403,1
1464176,3270897,1
1466153,15595655,1
1469317,22566099,1
1471481,685990,1
1475799,2818,1
1476312,654931,1
1478130,2761156,1
1478357,685990,1
1483027,3259374,1
1484278,654931,1
1485139,7812608,1
1485699,14622016,1
1487795,6512505,1
1488517,15780515,1
1489632,4656557,1
1491257,6512505,1
1493147,15726563,1
1498267,1601408,1
1505493,2429334,1
1517728,8706862,1
1529180,4282415,1
1529494,685990,1
1529830,2700366,1
1531348,654931,1
1536891,1035801,1
1544266,8269677,1
1549857,2761156,1
1556118,1601408,1
1558090,6512505,1
1558703,2761156,1
1561180,759060,1
1567194,8874073,1
1572910,730916,1
1579994,685990,1
1583913,15780515,1
1594071,14021349,1
1595025,25310162,1
1595773,3270897,1
1603816,654931,1
1606649,2763386,1
1614692,8475898,1
1618290,17986807,1
1621149,759060,1
1621980,3003918,1
1623277,20651079,1
1634535,2763386,1
1636187,2497346,1
1638370,759060,1
1641902,1601408,1
1648606,14610348,1
1649393,1155251,1
1649579,654931,1
1657160,2497346,1
1660076,18514561,1
1662115,1583266,1
1663439,1321735,1
1666790,14412610,1
1673914,654931,1
1681686,4282415,1
1681711,14313251,1
1681772,2763386,1
1682089,12801514,1
1686910,1601408,1
1696846,15780515,1
1698289,24628192,1
1698893,15110159,1
1700889,2818,1
1705071,1246308,1
1706665,1583266,1
1714884,1321735,1
1718099,14173331,1
1719023,22566099,1
1721852,2429334,1
1727583,2761156,1
1733926,4656557,1
1734496,3270897,1
1737732,1986095,1
1739035,1601408,1
1755044,654931,1
1757328,4656557,1
1757507,29919168,1
1766531,3270897,1
1776905,16081933,1
1789990,685990,2
1792724,4656557,1
1797558,14998245,1
1799858,4282415,1
1817279,759060,1
